GO:0009987	P	0.76	cellular process
GO:0044699	P	0.74	single-organism process
GO:0044763	P	0.67	single-organism cellular process
GO:0071704	P	0.53	organic substance metabolic process
GO:0044237	P	0.52	cellular metabolic process
GO:1901360	P	0.47	organic cyclic compound metabolic process
GO:0046483	P	0.47	heterocycle metabolic process
GO:0034641	P	0.47	cellular nitrogen compound metabolic process
GO:0006725	P	0.47	cellular aromatic compound metabolic process
GO:1901362	P	0.44	organic cyclic compound biosynthetic process
GO:0044710	P	0.44	single-organism metabolic process
GO:0044271	P	0.44	cellular nitrogen compound biosynthetic process
GO:0019438	P	0.44	aromatic compound biosynthetic process
GO:0018130	P	0.44	heterocycle biosynthetic process
GO:0044281	P	0.42	small molecule metabolic process
GO:0006796	P	0.42	phosphate-containing compound metabolic process
GO:0090407	P	0.41	organophosphate biosynthetic process
GO:0042724	P	0.41	thiamine-containing compound biosynthetic process
GO:0042357	P	0.41	thiamine diphosphate metabolic process
GO:0009108	P	0.41	coenzyme biosynthetic process
GO:0006772	P	0.41	thiamine metabolic process
GO:0065007	P	0.38	biological regulation
GO:0050794	P	0.34	regulation of cellular process
GO:0016043	P	0.29	cellular component organization
GO:0044767	P	0.26	single-organism developmental process
GO:0032501	P	0.23	multicellular organismal process
GO:0006810	P	0.22	transport
GO:0044238	P	0.19	primary metabolic process
GO:0043170	P	0.19	macromolecule metabolic process
GO:0048856	P	0.18	anatomical structure development
GO:0044260	P	0.18	cellular macromolecule metabolic process
GO:0006996	P	0.17	organelle organization
GO:0044707	P	0.15	single-multicellular organism process
GO:0009653	P	0.15	anatomical structure morphogenesis
GO:0048523	P	0.14	negative regulation of cellular process
GO:0048518	P	0.14	positive regulation of biological process
GO:0048522	P	0.13	positive regulation of cellular process
GO:0031323	P	0.13	regulation of cellular metabolic process
GO:0022607	P	0.13	cellular component assembly
GO:0016192	P	0.13	vesicle-mediated transport
GO:0007165	P	0.13	signal transduction
GO:0080090	P	0.12	regulation of primary metabolic process
GO:0048869	P	0.12	cellular developmental process
GO:0007010	P	0.12	cytoskeleton organization
GO:0003008	P	0.12	system process
GO:1902589	P	0.11	single-organism organelle organization
GO:0060255	P	0.11	regulation of macromolecule metabolic process
GO:0051649	P	0.11	establishment of localization in cell
GO:0051641	P	0.11	cellular localization
GO:0031326	P	0.11	regulation of cellular biosynthetic process
GO:0006928	P	0.11	movement of cell or subcellular component
