GO:0044421	C	0.93	extracellular region part
GO:0005576	C	0.88	extracellular region
GO:0044464	C	0.84	cell part
GO:0043234	C	0.73	protein complex
GO:0043227	C	0.67	membrane-bounded organelle
GO:0016020	C	0.62	membrane
GO:0044424	C	0.61	intracellular part
GO:0005615	C	0.58	extracellular space
GO:0031982	C	0.52	vesicle
GO:0005577	C	0.51	fibrinogen complex
GO:0070062	C	0.50	extracellular exosome
GO:0044425	C	0.46	membrane part
GO:0043229	C	0.44	intracellular organelle
GO:0043231	C	0.43	intracellular membrane-bounded organelle
GO:0005886	C	0.42	plasma membrane
GO:0044444	C	0.38	cytoplasmic part
GO:0072562	C	0.36	blood microparticle
GO:0044459	C	0.32	plasma membrane part
GO:0044446	C	0.28	intracellular organelle part
GO:0005737	C	0.28	cytoplasm
GO:0009986	C	0.27	cell surface
GO:0031410	C	0.25	cytoplasmic vesicle
GO:0031012	C	0.23	extracellular matrix
GO:0030141	C	0.22	secretory granule
GO:0005581	C	0.22	collagen trimer
GO:0031091	C	0.21	platelet alpha granule
GO:0009897	C	0.21	external side of plasma membrane
GO:0043233	C	0.19	organelle lumen
GO:0031093	C	0.18	platelet alpha granule lumen
GO:0005938	C	0.18	cell cortex
GO:0005634	C	0.17	nucleus
GO:0005578	C	0.17	proteinaceous extracellular matrix
GO:0042995	C	0.15	cell projection
GO:0044420	C	0.14	extracellular matrix component
GO:0005622	C	0.12	intracellular
