GO:0044444	C	1.00	cytoplasmic part
GO:0043226	C	0.83	organelle
GO:0043229	C	0.82	intracellular organelle
GO:0043227	C	0.81	membrane-bounded organelle
GO:0043231	C	0.80	intracellular membrane-bounded organelle
GO:0005739	C	0.76	mitochondrion
GO:0044422	C	0.49	organelle part
GO:0044446	C	0.48	intracellular organelle part
GO:0044425	C	0.32	membrane part
GO:0044429	C	0.30	mitochondrial part
GO:0016021	C	0.29	integral component of membrane
GO:0031305	C	0.25	integral component of mitochondrial inner membrane
GO:0016020	C	0.23	membrane
GO:0005634	C	0.15	nucleus
GO:0032991	C	0.11	protein-containing complex
